test %,seed,h_size,l_rate,val %
72.73,0,6,0.00379,60.0
72.73,0,6,0.00483,60.0
72.73,0,16,0.0001,63.33
72.73,0,16,0.000127,63.33
72.73,0,16,0.000162,63.33
72.73,0,16,0.000207,63.33
72.73,0,16,0.000264,63.33
72.73,0,16,0.000336,63.33
72.73,0,16,0.000428,63.33
72.73,0,16,0.000546,63.33
72.73,0,16,0.000695,63.33
72.73,0,16,0.000886,63.33
72.73,0,16,0.001,63.33
72.73,0,20,0.0001,56.67
72.73,0,20,0.000127,56.67
72.73,0,20,0.000162,60.0
72.73,0,20,0.000207,60.0
72.73,0,20,0.000264,60.0
72.73,0,20,0.000336,60.0
72.73,0,20,0.000428,60.0
72.73,0,20,0.000546,60.0
81.82,0,20,0.000695,60.0
72.73,0,20,0.000886,60.0
72.73,0,20,0.00113,60.0
72.73,0,20,0.001,60.0
81.82,0,20,0.00144,56.67
72.73,1,2,0.00615,40.0
72.73,1,6,0.000695,66.67
72.73,1,6,0.000886,66.67
72.73,1,6,0.00113,66.67
72.73,1,6,0.001,66.67
72.73,1,6,0.00379,73.33
81.82,1,6,0.00483,66.67
81.82,1,6,0.00784,70.0
72.73,1,6,0.01,63.33
72.73,1,10,0.00297,56.67
72.73,1,10,0.00483,53.33
72.73,1,14,0.00144,43.33
72.73,1,14,0.00234,43.33
72.73,1,14,0.00379,43.33
72.73,2,14,0.00784,50.0
72.73,2,18,0.0001,46.67
72.73,2,18,0.000127,50.0
72.73,2,18,0.000162,50.0
72.73,2,18,0.000207,50.0
72.73,2,18,0.000264,50.0
72.73,2,18,0.000336,50.0
72.73,2,18,0.000428,50.0
72.73,2,18,0.000546,50.0
72.73,2,18,0.000695,50.0
72.73,2,18,0.000886,53.33
72.73,2,18,0.00113,53.33
72.73,2,18,0.001,53.33
72.73,2,18,0.00144,53.33
72.73,2,18,0.00183,53.33
72.73,2,18,0.00234,53.33
72.73,2,18,0.00297,53.33
72.73,2,18,0.00379,53.33
72.73,2,18,0.00483,46.67
72.73,2,18,0.00615,46.67
72.73,2,18,0.00784,53.33
72.73,3,18,0.00183,40.0
72.73,3,18,0.00234,40.0
72.73,3,18,0.00297,46.67
72.73,3,18,0.00379,46.67
72.73,3,18,0.00483,43.33
72.73,3,18,0.00615,36.67
72.73,5,2,0.00144,56.67
72.73,5,2,0.00297,56.67
72.73,5,2,0.00379,53.33
72.73,5,2,0.00615,56.67
72.73,5,2,0.00784,53.33
72.73,5,12,0.00113,50.0
72.73,5,12,0.00144,50.0
72.73,5,12,0.00183,50.0
72.73,5,12,0.00234,50.0
72.73,5,12,0.00297,50.0
72.73,5,12,0.00379,46.67
72.73,5,12,0.00483,43.33
90.91,5,12,0.00615,50.0
72.73,5,12,0.00784,50.0
72.73,5,16,0.00234,60.0
72.73,5,16,0.00297,56.67
72.73,5,18,0.000695,63.33
72.73,5,18,0.000886,63.33
72.73,5,18,0.00113,63.33
72.73,5,18,0.001,63.33
72.73,5,18,0.00144,63.33
72.73,5,18,0.00183,63.33
72.73,5,18,0.00297,60.0
72.73,5,18,0.00379,63.33
72.73,7,6,0.00183,46.67
81.82,7,6,0.00234,46.67
81.82,7,6,0.00297,50.0
72.73,7,6,0.00379,46.67
72.73,7,6,0.00483,46.67
81.82,7,6,0.00615,50.0
81.82,7,6,0.00784,50.0
81.82,7,6,0.01,46.67
72.73,9,4,0.00183,50.0
72.73,9,4,0.00234,50.0
72.73,9,4,0.00297,50.0
72.73,9,4,0.00379,50.0
72.73,9,4,0.00483,50.0
72.73,9,4,0.00615,50.0
72.73,9,4,0.00784,46.67
72.73,10,4,0.0001,50.0
72.73,10,4,0.000127,50.0
72.73,10,4,0.000162,50.0
72.73,10,4,0.000207,50.0
72.73,10,4,0.000264,50.0
72.73,10,4,0.000336,50.0
72.73,10,4,0.00234,50.0
72.73,10,6,0.000546,56.67
72.73,10,6,0.000695,56.67
72.73,10,6,0.000886,56.67
72.73,10,6,0.00113,56.67
72.73,10,6,0.001,56.67
72.73,10,6,0.00144,56.67
72.73,10,6,0.00183,56.67
72.73,10,6,0.00234,56.67
72.73,10,6,0.00297,56.67
72.73,10,6,0.00379,56.67
72.73,10,6,0.00483,56.67
72.73,10,10,0.00297,50.0
72.73,10,16,0.000695,70.0
72.73,10,16,0.000886,70.0
72.73,10,16,0.00113,66.67
72.73,10,16,0.001,70.0
72.73,10,16,0.00144,70.0
72.73,10,16,0.00183,70.0
72.73,10,16,0.00234,66.67
72.73,10,16,0.00297,63.33
72.73,10,16,0.00379,56.67
72.73,10,18,0.000428,50.0
72.73,10,18,0.000546,46.67
72.73,10,18,0.000695,46.67
72.73,10,18,0.00113,46.67
72.73,10,18,0.001,50.0
72.73,10,18,0.00144,53.33
72.73,10,18,0.00183,53.33
72.73,10,18,0.00234,53.33
72.73,10,18,0.00297,50.0
72.73,10,18,0.00379,46.67
81.82,10,18,0.00483,53.33
81.82,10,18,0.00615,50.0
72.73,10,18,0.00784,43.33
72.73,10,18,0.01,36.67
72.73,10,20,0.00379,50.0
72.73,11,8,0.0001,63.33
72.73,11,8,0.000127,63.33
72.73,11,8,0.000162,63.33
72.73,11,8,0.000207,63.33
72.73,11,8,0.000264,63.33
72.73,11,8,0.000336,63.33
72.73,11,8,0.000428,63.33
72.73,11,8,0.000546,63.33
72.73,11,8,0.000695,63.33
72.73,11,8,0.000886,63.33
72.73,11,8,0.00113,63.33
72.73,11,8,0.001,63.33
72.73,11,8,0.00144,63.33
72.73,11,8,0.00183,60.0
72.73,11,16,0.00297,56.67
72.73,11,16,0.00379,56.67
81.82,14,6,0.00297,50.0
81.82,14,6,0.00379,53.33
72.73,14,6,0.00483,53.33
81.82,14,6,0.00615,53.33
72.73,14,6,0.00784,46.67
81.82,14,6,0.01,50.0
72.73,14,12,0.0001,50.0
72.73,14,12,0.000127,46.67
72.73,14,12,0.000162,46.67
72.73,14,12,0.000207,46.67
72.73,14,12,0.000264,46.67
72.73,14,12,0.000336,46.67
72.73,14,12,0.000428,50.0
81.82,14,18,0.0001,50.0
81.82,14,18,0.000127,50.0
81.82,14,18,0.000162,50.0
81.82,14,18,0.000207,50.0
81.82,14,18,0.000264,50.0
81.82,14,18,0.000336,50.0
81.82,14,18,0.000428,50.0
81.82,14,18,0.000546,53.33
81.82,14,18,0.000695,53.33
81.82,14,18,0.000886,50.0
81.82,14,18,0.00113,50.0
81.82,14,18,0.001,46.67
81.82,14,18,0.00144,50.0
72.73,14,18,0.00183,50.0
72.73,14,18,0.00234,50.0
72.73,14,18,0.00297,50.0
72.73,14,18,0.00379,50.0
72.73,15,6,0.00144,40.0
72.73,15,6,0.00183,40.0
72.73,15,6,0.00234,40.0
72.73,15,6,0.00297,40.0
72.73,15,6,0.00379,40.0
72.73,15,6,0.00483,40.0
72.73,15,6,0.00615,43.33
72.73,15,8,0.00379,40.0
72.73,15,8,0.00483,40.0
72.73,15,18,0.000264,60.0
72.73,15,18,0.000336,60.0
72.73,15,18,0.000428,60.0
72.73,15,18,0.000546,60.0
72.73,15,18,0.000695,60.0
72.73,15,18,0.000886,56.67
72.73,15,18,0.00113,60.0
