seed,val %,test %
0,56.67,81.82
1,50.00,54.55
2,43.33,54.55
3,56.67,63.64
4,50.00,45.45
5,50.00,36.36
6,43.33,54.55
7,60.00,54.55
8,63.33,45.45
9,50.00,36.36
10,53.33,54.55
11,50.00,45.45
12,60.00,45.45
13,60.00,54.55
14,36.67,45.45
15,50.00,45.45
16,50.00,36.36
17,43.33,45.45
18,46.67,63.64
19,56.67,90.91
20,50.00,54.55
21,56.67,63.64
22,60.00,63.64
23,50.00,45.45
24,46.67,45.45
25,46.67,72.73
26,53.33,45.45
27,53.33,45.45
28,53.33,45.45
29,53.33,63.64
30,53.33,18.18
31,53.33,45.45
32,53.33,54.55
33,43.33,45.45
34,50.00,54.55
35,53.33,45.45
36,53.33,27.27
37,56.67,63.64
38,36.67,54.55
39,60.00,45.45
40,30.00,36.36
41,53.33,54.55
42,53.33,45.45
43,56.67,36.36
44,40.00,54.55
45,56.67,45.45
46,43.33,63.64
47,50.00,45.45
48,56.67,45.45
49,56.67,63.64
