seed,val %,test %,h_size,l_rate
11,50.00,45.45,2,0.0001
11,50.00,45.45,2,0.000127
11,50.00,45.45,2,0.000162
11,50.00,45.45,2,0.000207
11,50.00,45.45,2,0.000264
11,50.00,45.45,2,0.000336
11,50.00,45.45,2,0.000428
11,46.67,54.55,2,0.000546
11,46.67,54.55,2,0.000695
11,46.67,54.55,2,0.000886
11,50.00,54.55,2,0.00113
11,46.67,54.55,2,0.001
11,50.00,54.55,2,0.00144
11,50.00,63.64,2,0.00183
11,50.00,54.55,2,0.00234
11,50.00,63.64,2,0.00297
11,50.00,63.64,2,0.00379
11,50.00,63.64,2,0.00483
11,50.00,54.55,2,0.00615
11,50.00,63.64,2,0.00784
11,50.00,63.64,2,0.01
11,50.00,36.36,4,0.0001
11,50.00,36.36,4,0.000127
11,50.00,36.36,4,0.000162
11,50.00,36.36,4,0.000207
11,50.00,36.36,4,0.000264
11,50.00,36.36,4,0.000336
11,50.00,36.36,4,0.000428
11,50.00,36.36,4,0.000546
11,56.67,54.55,4,0.000695
11,56.67,54.55,4,0.000886
11,56.67,54.55,4,0.00113
11,56.67,54.55,4,0.001
11,56.67,54.55,4,0.00144
11,56.67,54.55,4,0.00183
11,56.67,54.55,4,0.00234
11,56.67,54.55,4,0.00297
11,56.67,54.55,4,0.00379
11,53.33,54.55,4,0.00483
11,56.67,54.55,4,0.00615
11,50.00,45.45,4,0.00784
11,50.00,54.55,4,0.01
11,60.00,36.36,6,0.0001
11,60.00,36.36,6,0.000127
11,60.00,36.36,6,0.000162
11,60.00,36.36,6,0.000207
11,60.00,36.36,6,0.000264
11,60.00,36.36,6,0.000336
11,60.00,36.36,6,0.000428
11,60.00,36.36,6,0.000546
11,60.00,36.36,6,0.000695
11,60.00,36.36,6,0.000886
11,60.00,36.36,6,0.00113
11,60.00,36.36,6,0.001
11,60.00,36.36,6,0.00144
11,60.00,45.45,6,0.00183
11,60.00,45.45,6,0.00234
11,63.33,36.36,6,0.00297
11,63.33,54.55,6,0.00379
11,66.67,54.55,6,0.00483
11,70.00,54.55,6,0.00615
11,70.00,54.55,6,0.00784
11,70.00,63.64,6,0.01
11,63.33,72.73,8,0.0001
11,63.33,72.73,8,0.000127
11,63.33,72.73,8,0.000162
11,63.33,72.73,8,0.000207
11,63.33,72.73,8,0.000264
11,63.33,72.73,8,0.000336
11,63.33,72.73,8,0.000428
11,63.33,72.73,8,0.000546
