seed,val %,test %,val (+),val(-),test(+),test(-)
0,63.33,72.73,9,10,5,3
1,63.33,45.45,8,11,2,3
2,53.33,54.55,12,4,5,1
3,46.67,45.45,7,7,3,2
4,66.67,45.45,3,17,0,5
5,60.00,63.64,3,15,2,5
6,43.33,27.27,9,4,3,0
7,50.00,45.45,6,9,3,2
8,66.67,45.45,7,13,1,4
9,63.33,54.55,13,6,5,1
10,70.00,72.73,7,14,5,3
11,50.00,54.55,10,5,3,3
12,43.33,63.64,5,8,4,3
13,60.00,36.36,11,7,1,3
14,50.00,63.64,10,5,5,2
15,43.33,54.55,5,8,4,2
16,43.33,54.55,9,4,4,2
17,53.33,54.55,9,7,3,3
18,53.33,45.45,10,6,3,2
19,53.33,45.45,6,10,2,3
20,50.00,45.45,8,7,3,2
21,40.00,45.45,4,8,3,2
22,56.67,45.45,5,12,0,5
23,33.33,54.55,6,4,5,1
24,50.00,36.36,0,15,0,4
25,30.00,45.45,7,2,5,0
26,56.67,45.45,1,16,0,5
27,43.33,54.55,7,6,2,4
28,56.67,45.45,8,9,3,2
29,53.33,54.55,4,12,5,1
30,56.67,45.45,12,5,4,1
31,56.67,54.55,1,16,1,5
32,40.00,54.55,1,11,1,5
33,40.00,27.27,7,5,3,0
34,60.00,36.36,3,15,0,4
35,53.33,45.45,4,12,1,4
36,46.67,36.36,6,8,3,1
37,50.00,54.55,5,10,3,3
38,60.00,54.55,9,9,3,3
39,56.67,45.45,1,16,1,4
40,53.33,72.73,3,13,4,4
41,56.67,54.55,9,8,3,3
42,60.00,54.55,6,12,1,5
43,53.33,45.45,0,16,0,5
44,56.67,45.45,12,5,4,1
45,43.33,54.55,5,8,4,2
46,53.33,45.45,8,8,3,2
47,50.00,45.45,7,8,4,1
48,63.33,54.55,10,9,3,3
49,43.33,27.27,9,4,3,0
50,40.00,45.45,3,9,3,2
51,53.33,54.55,8,8,5,1
52,46.67,45.45,7,7,4,1
53,46.67,54.55,11,3,5,1
54,50.00,72.73,9,6,6,2
55,46.67,45.45,3,11,3,2
56,53.33,27.27,12,4,3,0
57,53.33,63.64,4,12,3,4
58,40.00,45.45,10,2,5,0
59,53.33,45.45,5,11,4,1
60,53.33,45.45,9,7,3,2
61,66.67,63.64,13,7,5,2
62,53.33,54.55,0,16,1,5
63,43.33,63.64,9,4,6,1
64,40.00,54.55,7,5,5,1
65,46.67,54.55,9,5,5,1
66,50.00,45.45,10,5,5,0
67,46.67,72.73,5,9,5,3
68,43.33,54.55,4,9,4,2
69,60.00,45.45,9,9,2,3
70,53.33,45.45,0,16,0,5
71,50.00,63.64,10,5,4,3
72,50.00,54.55,7,8,4,2
73,43.33,72.73,6,7,5,3
74,56.67,63.64,3,14,3,4
75,46.67,54.55,5,9,2,4
76,43.33,72.73,3,10,6,2
77,50.00,63.64,12,3,6,1
78,53.33,72.73,7,9,6,2
79,50.00,54.55,11,4,4,2
80,60.00,63.64,10,8,4,3
81,36.67,36.36,10,1,3,1
82,56.67,54.55,1,16,1,5
83,36.67,45.45,7,4,4,1
84,63.33,36.36,8,11,2,2
85,50.00,54.55,10,5,5,1
86,43.33,45.45,5,8,4,1
87,60.00,72.73,9,9,6,2
88,40.00,45.45,5,7,2,3
89,46.67,45.45,10,4,4,1
90,53.33,45.45,9,7,3,2
91,56.67,36.36,3,14,0,4
92,46.67,54.55,9,5,4,2
93,60.00,45.45,1,17,0,5
94,50.00,54.55,10,5,5,1
95,46.67,36.36,2,12,1,3
96,60.00,54.55,3,15,1,5
97,50.00,63.64,6,9,5,2
98,53.33,72.73,9,7,6,2
99,50.00,45.45,10,5,1,4
100,66.67,45.45,7,13,2,3
