seed,val %,test %
0,60.00,72.73
1,73.33,72.73
2,46.67,45.45
3,46.67,54.55
4,56.67,36.36
5,56.67,63.64
6,46.67,45.45
7,46.67,72.73
8,56.67,54.55
9,46.67,36.36
10,56.67,72.73
11,63.33,54.55
12,40.00,54.55
13,53.33,54.55
14,53.33,81.82
15,40.00,72.73
16,46.67,63.64
17,53.33,63.64
18,53.33,54.55
19,50.00,63.64
20,43.33,72.73
21,46.67,54.55
22,53.33,63.64
23,53.33,72.73
24,43.33,45.45
25,60.00,63.64
26,50.00,36.36
27,43.33,27.27
28,43.33,36.36
29,43.33,81.82
30,43.33,54.55
31,53.33,72.73
32,50.00,54.55
33,53.33,63.64
34,50.00,63.64
35,60.00,36.36
36,53.33,45.45
37,56.67,45.45
38,56.67,45.45
39,50.00,36.36
40,60.00,45.45
41,43.33,54.55
42,50.00,54.55
43,46.67,72.73
44,40.00,54.55
45,63.33,72.73
46,53.33,81.82
47,60.00,81.82
48,50.00,54.55
49,40.00,54.55
50,63.33,72.73
51,50.00,36.36
52,40.00,36.36
53,36.67,45.45
54,53.33,63.64
55,50.00,72.73
56,60.00,63.64
57,53.33,63.64
58,43.33,54.55
59,46.67,54.55
60,50.00,54.55
61,43.33,27.27
62,63.33,72.73
63,46.67,63.64
64,60.00,54.55
65,60.00,54.55
66,40.00,18.18
67,36.67,72.73
68,46.67,63.64
69,43.33,54.55
70,50.00,54.55
71,46.67,63.64
72,60.00,72.73
73,40.00,45.45
74,43.33,54.55
75,36.67,63.64
76,50.00,63.64
77,46.67,63.64
78,60.00,72.73
79,43.33,45.45
80,63.33,81.82
81,50.00,45.45
82,56.67,54.55
83,46.67,45.45
84,43.33,54.55
85,53.33,45.45
86,53.33,72.73
87,53.33,63.64
88,46.67,63.64
89,36.67,45.45
90,63.33,27.27
91,40.00,18.18
92,46.67,27.27
93,50.00,36.36
94,50.00,63.64
95,50.00,54.55
96,46.67,45.45
97,50.00,63.64
98,50.00,36.36
99,56.67,36.36
