seed,val %,test %,val (+),val(-),test(+),test(-)
100,66.67,45.45,7,13,2,3
101,56.67,45.45,7,10,3,2
102,60.00,54.55,12,6,4,2
103,40.00,36.36,5,7,1,3
104,40.00,63.64,7,5,5,2
105,53.33,27.27,8,8,1,2
106,56.67,54.55,8,9,3,3
107,50.00,27.27,3,12,0,3
108,60.00,63.64,5,13,4,3
109,50.00,36.36,3,12,0,4
110,50.00,45.45,10,5,3,2
111,60.00,54.55,6,12,3,3
112,50.00,72.73,6,9,4,4
113,50.00,54.55,1,14,3,3
114,46.67,54.55,4,10,3,3
115,43.33,54.55,5,8,4,2
116,50.00,45.45,5,10,3,2
117,46.67,54.55,4,10,2,4
118,40.00,36.36,8,4,4,0
119,60.00,54.55,3,15,2,4
120,60.00,18.18,5,13,0,2
121,60.00,54.55,1,17,1,5
122,56.67,45.45,10,7,2,3
123,46.67,36.36,9,5,3,1
124,36.67,18.18,9,2,2,0
125,53.33,36.36,5,11,2,2
126,53.33,45.45,11,5,5,0
127,53.33,63.64,6,10,3,4
128,60.00,54.55,8,10,2,4
129,56.67,45.45,0,17,0,5
130,46.67,54.55,9,5,4,2
131,56.67,45.45,7,10,2,3
132,46.67,72.73,2,12,3,5
133,50.00,27.27,6,9,1,2
134,46.67,63.64,7,7,4,3
135,63.33,63.64,13,6,5,2
136,46.67,45.45,10,4,5,0
137,50.00,54.55,2,13,2,4
138,46.67,54.55,7,7,5,1
139,56.67,27.27,8,9,0,3
140,60.00,63.64,8,10,3,4
141,53.33,54.55,6,10,5,1
142,46.67,63.64,7,7,5,2
143,50.00,54.55,10,5,5,1
144,60.00,63.64,1,17,2,5
145,60.00,45.45,13,5,3,2
146,50.00,72.73,8,7,5,3
147,53.33,72.73,10,6,5,3
148,53.33,54.55,3,13,2,4
149,56.67,45.45,10,7,2,3
150,46.67,36.36,9,5,4,0
151,56.67,63.64,9,8,4,3
152,50.00,72.73,8,7,4,4
153,50.00,36.36,10,5,2,2
154,43.33,36.36,6,7,2,2
155,40.00,36.36,1,11,1,3
156,56.67,36.36,3,14,0,4
157,60.00,63.64,6,12,3,4
158,60.00,81.82,5,13,6,3
159,43.33,36.36,2,11,1,3
160,63.33,81.82,3,16,5,4
161,50.00,54.55,6,9,3,3
162,43.33,27.27,9,4,3,0
163,60.00,63.64,7,11,4,3
164,50.00,54.55,9,6,5,1
165,60.00,54.55,9,9,3,3
166,56.67,54.55,12,5,4,2
167,43.33,54.55,3,10,1,5
168,53.33,54.55,8,8,2,4
169,50.00,45.45,10,5,3,2
170,50.00,45.45,11,4,5,0
171,43.33,54.55,8,5,4,2
172,43.33,45.45,4,9,2,3
173,46.67,36.36,8,6,3,1
174,53.33,45.45,4,12,0,5
175,33.33,45.45,7,3,5,0
176,50.00,45.45,7,8,2,3
177,56.67,36.36,0,17,0,4
178,30.00,45.45,7,2,5,0
179,46.67,36.36,9,5,3,1
180,60.00,45.45,2,16,0,5
181,53.33,45.45,9,7,4,1
182,53.33,54.55,9,7,3,3
183,36.67,45.45,10,1,5,0
184,40.00,45.45,7,5,4,1
185,53.33,54.55,1,15,2,4
186,40.00,27.27,8,4,2,1
187,46.67,45.45,11,3,4,1
188,63.33,45.45,2,17,1,4
189,56.67,45.45,11,6,4,1
190,46.67,45.45,8,6,3,2
191,50.00,54.55,6,9,2,4
192,53.33,45.45,10,6,3,2
193,56.67,45.45,5,12,2,3
194,53.33,36.36,11,5,4,0
195,36.67,45.45,3,8,3,2
196,50.00,54.55,6,9,3,3
197,43.33,45.45,7,6,5,0
198,60.00,54.55,1,17,1,5
199,46.67,36.36,2,12,0,4
200,56.67,45.45,0,17,0,5
