seed,val %,test %,h_size,l_rate
8,63.33,36.36,2,0.0001
8,63.33,36.36,2,0.000127
8,63.33,36.36,2,0.000162
8,63.33,36.36,2,0.000207
8,63.33,36.36,2,0.000264
8,63.33,36.36,2,0.000336
8,63.33,36.36,2,0.000428
8,63.33,36.36,2,0.000546
8,63.33,36.36,2,0.000695
8,63.33,36.36,2,0.000886
8,63.33,36.36,2,0.00113
8,63.33,36.36,2,0.001
8,63.33,36.36,2,0.00144
8,63.33,27.27,2,0.00183
8,66.67,27.27,2,0.00234
8,66.67,27.27,2,0.00297
8,63.33,27.27,2,0.00379
8,63.33,27.27,2,0.00483
8,63.33,18.18,2,0.00615
8,60.00,9.09,2,0.00784
8,50.00,9.09,2,0.01
8,66.67,45.45,4,0.0001
8,66.67,45.45,4,0.000127
8,66.67,45.45,4,0.000162
8,66.67,45.45,4,0.000207
8,66.67,45.45,4,0.000264
8,66.67,45.45,4,0.000336
8,66.67,45.45,4,0.000428
8,66.67,45.45,4,0.000546
8,66.67,45.45,4,0.000695
8,66.67,45.45,4,0.000886
8,66.67,45.45,4,0.00113
8,66.67,45.45,4,0.001
8,66.67,45.45,4,0.00144
8,66.67,45.45,4,0.00183
8,63.33,45.45,4,0.00234
8,63.33,45.45,4,0.00297
8,63.33,45.45,4,0.00379
8,63.33,36.36,4,0.00483
8,63.33,36.36,4,0.00615
8,60.00,36.36,4,0.00784
8,53.33,36.36,4,0.01
8,56.67,54.55,6,0.0001
8,56.67,54.55,6,0.000127
8,56.67,54.55,6,0.000162
8,56.67,54.55,6,0.000207
8,56.67,54.55,6,0.000264
8,56.67,54.55,6,0.000336
8,56.67,54.55,6,0.000428
8,56.67,54.55,6,0.000546
8,60.00,54.55,6,0.000695
8,60.00,54.55,6,0.000886
8,60.00,54.55,6,0.00113
8,60.00,54.55,6,0.001
8,56.67,54.55,6,0.00144
8,60.00,54.55,6,0.00183
8,56.67,54.55,6,0.00234
8,56.67,54.55,6,0.00297
8,56.67,54.55,6,0.00379
8,56.67,45.45,6,0.00483
8,56.67,54.55,6,0.00615
8,53.33,54.55,6,0.00784
8,50.00,45.45,6,0.01
8,63.33,36.36,8,0.0001
8,63.33,36.36,8,0.000127
8,60.00,36.36,8,0.000162
8,56.67,36.36,8,0.000207
8,56.67,36.36,8,0.000264
8,56.67,36.36,8,0.000336
8,56.67,36.36,8,0.000428
8,56.67,45.45,8,0.000546
8,56.67,45.45,8,0.000695
8,56.67,45.45,8,0.000886
8,50.00,63.64,8,0.00113
8,50.00,63.64,8,0.001
8,50.00,63.64,8,0.00144
8,50.00,63.64,8,0.00183
8,50.00,63.64,8,0.00234
8,50.00,54.55,8,0.00297
8,46.67,63.64,8,0.00379
8,50.00,63.64,8,0.00483
8,46.67,54.55,8,0.00615
8,50.00,54.55,8,0.00784
8,53.33,54.55,8,0.01
8,60.00,54.55,10,0.0001
8,60.00,54.55,10,0.000127
8,60.00,54.55,10,0.000162
8,60.00,54.55,10,0.000207
8,60.00,54.55,10,0.000264
8,60.00,54.55,10,0.000336
8,56.67,45.45,10,0.000428
8,56.67,45.45,10,0.000546
8,56.67,45.45,10,0.000695
8,56.67,45.45,10,0.000886
8,56.67,54.55,10,0.00113
8,56.67,54.55,10,0.001
8,56.67,45.45,10,0.00144
8,56.67,45.45,10,0.00183
8,56.67,45.45,10,0.00234
8,50.00,36.36,10,0.00297
8,46.67,54.55,10,0.00379
8,46.67,54.55,10,0.00483
8,40.00,63.64,10,0.00615
8,36.67,54.55,10,0.00784
8,36.67,54.55,10,0.01
8,53.33,45.45,12,0.0001
8,53.33,45.45,12,0.000127
8,53.33,45.45,12,0.000162
8,53.33,45.45,12,0.000207
8,53.33,45.45,12,0.000264
8,53.33,45.45,12,0.000336
8,53.33,45.45,12,0.000428
8,63.33,45.45,12,0.000546
8,63.33,45.45,12,0.000695
8,63.33,45.45,12,0.000886
8,63.33,45.45,12,0.00113
8,63.33,45.45,12,0.001
8,63.33,45.45,12,0.00144
8,63.33,45.45,12,0.00183
8,63.33,45.45,12,0.00234
8,63.33,45.45,12,0.00297
8,60.00,45.45,12,0.00379
8,63.33,45.45,12,0.00483
8,63.33,54.55,12,0.00615
8,46.67,54.55,12,0.00784
8,43.33,63.64,12,0.01
8,46.67,54.55,14,0.0001
8,46.67,54.55,14,0.000127
8,46.67,54.55,14,0.000162
8,46.67,54.55,14,0.000207
8,46.67,54.55,14,0.000264
8,46.67,54.55,14,0.000336
8,46.67,54.55,14,0.000428
8,46.67,54.55,14,0.000546
8,46.67,54.55,14,0.000695
8,46.67,54.55,14,0.000886
8,46.67,54.55,14,0.00113
8,46.67,54.55,14,0.001
8,56.67,45.45,14,0.00144
8,53.33,63.64,14,0.00183
8,53.33,63.64,14,0.00234
8,53.33,63.64,14,0.00297
8,53.33,54.55,14,0.00379
8,53.33,54.55,14,0.00483
8,50.00,63.64,14,0.00615
8,46.67,45.45,14,0.00784
8,50.00,54.55,14,0.01
8,60.00,45.45,16,0.0001
